Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
349;51,3074666690551;16,6614044525164;34,9;113
350;51,3070407019344;16,6601374760785;35;118
351;51,3066147211439;16,6588705231614;35,1;115
352;51,3061887266839;16,6576035937649;35,2;117
353;51,305762718555;16,656336687889;35,3;119
354;51,3053366967575;16,6550698055337;35,4;120
355;51,304910661292;16,6538029466989;35,5;123
356;51,3044846121589;16,6525361113846;35,6;132
357;51,3040585493587;16,6512692995907;35,7;132
358;51,3036324728918;16,6500025113172;35,8;130
359;51,3032063827587;16,648735746564;35,9;127
360;51,3027802789599;16,6474690053312;36;134
361;51,3023541614957;16,6462022876186;36,1;127
362;51,3019280303668;16,6449355934263;36,2;132
363;51,3015018855735;16,6436689227542;36,3;134
364;51,3010757271164;16,6424022756022;36,4;134
365;51,3006495549958;16,6411356519704;36,5;129
366;51,3002233692122;16,6398690518586;36,6;139
367;51,2997971697661;16,6386024752668;36,7;141
368;51,299370956658;16,637335922195;36,8;150
369;51,2989447298883;16,6360693926432;36,9;162
370;51,2985184894575;16,6348028866112;37;173
371;51,298092235366;16,6335364040991;37,1;168
372;51,2976659676143;16,6322699451069;37,2;174
373;51,2972396862029;16,6310035096344;37,3;158
374;51,2968133911322;16,6297370976817;37,4;143
375;51,2963870824027;16,6284707092486;37,5;121
376;51,2959607600148;16,6272043443352;37,6;133
377;51,2955344239691;16,6259380029415;37,7;149
378;51,295108074266;16,6246716850672;37,8;152
379;51,2946817109058;16,6234053907126;37,9;148
380;51,2942553338892;16,6221391198774;38;148
381;51,2938289432165;16,6208728725616;38,1;158
382;51,2934025388883;16,6196066487652;38,2;163
383;51,292976120905;16,6183404484882;38,3;160
384;51,2925496892669;16,6170742717306;38,4;159
385;51,2921232439748;16,6158081184921;38,5;149
386;51,2916967850288;16,614541988773;38,6;149
387;51,2912703124296;16,613275882573;38,7;158
388;51,2908438261776;16,6120097998921;38,8;147
389;51,2904173262733;16,6107437407304;38,9;125
390;51,2899908127171;16,6094777050877;39;123
391;51,2895642855094;16,608211692964;39,1;118
392;51,2891377446508;16,6069457043593;39,2;119
393;51,2887111901417;16,6056797392736;39,3;118
394;51,2882846219826;16,6044137977067;39,4;118
395;51,2878580401739;16,6031478796586;39,5;119
396;51,287431444716;16,6018819851294;39,6;123
397;51,2870048356096;16,6006161141189;39,7;129
398;51,2865782128549;16,5993502666272;39,8;126
399;51,2861515764525;16,5980844426541;39,9;124
400;51,2857249264029;16,5968186421996;40;126
401;51,2852982627064;16,5955528652637;40,1;139
402;51,2848715853636;16,5942871118464;40,2;131
403;51,284444894375;16,5930213819476;40,3;143
404;51,2840181897409;16,5917556755672;40,4;151
405;51,2835914714619;16,5904899927052;40,5;142
406;51,2831647395383;16,5892243333616;40,6;133
407;51,2827379939708;16,5879586975363;40,7;141
408;51,2823112347596;16,5866930852293;40,8;150
409;51,2818844619054;16,5854274964405;40,9;141
410;51,2814576754085;16,5841619311699;41;137
411;51,2810308752694;16,5828963894174;41,1;132
412;51,2806040614886;16,5816308711831;41,2;126
413;51,2801772340666;16,5803653764668;41,3;118
414;51,2797503930037;16,5790999052685;41,4;126
415;51,2793235383005;16,5778344575882;41,5;120
416;51,2788966699575;16,5765690334258;41,6;113
417;51,278469787975;16,5753036327813;41,7;126
418;51,2780428923536;16,5740382556546;41,8;115
419;51,2776159830936;16,5727729020457;41,9;126
420;51,2771890601957;16,5715075719546;42;123
421;51,2767621236602;16,5702422653811;42,1;129
422;51,2763351734875;16,5689769823253;42,2;135
423;51,2759082096783;16,5677117227872;42,3;125
424;51,2754812322328;16,5664464867665;42,4;128
425;51,2750542411517;16,5651812742634;42,5;119
426;51,2746272364352;16,5639160852778;42,6;124
427;51,274200218084;16,5626509198096;42,7;137
428;51,2737731860985;16,5613857778588;42,8;129
429;51,273346140479;16,5601206594253;42,9;126
430;51,2729190812261;16,5588555645091;43;145
431;51,2724920083404;16,5575904931101;43,1;160
432;51,2720649218221;16,5563254452284;43,2;149
433;51,2716378216718;16,5550604208638;43,3;141
434;51,2712107078899;16,5537954200163;43,4;134
435;51,2707835804769;16,5525304426859;43,5;120
436;51,2703564394333;16,5512654888725;43,6;120
437;51,2699292847595;16,5500005585761;43,7;120
438;51,2695021164559;16,5487356517966;43,8;115
439;51,2690749345231;16,5474707685339;43,9;116
440;51,2686477389616;16,5462059087881;44;118
441;51,2682205297716;16,5449410725591;44,1;119
442;51,2677933069539;16,5436762598469;44,2;119
443;51,2673660705087;16,5424114706513;44,3;112
444;51,2669388204365;16,5411467049724;44,4;115
445;51,2665115567379;16,53988196281;44,5;118
446;51,2660842794132;16,5386172441643;44,6;113
447;51,265656988463;16,537352549035;44,7;110
448;51,2652296838876;16,5360878774222;44,8;108
449;51,2648023656877;16,5348232293258;44,9;108
450;51,2643750338635;16,5335586047458;45;104
451;51,2639476884156;16,5322940036821;45,1;107
452;51,2635203293445;16,5310294261347;45,2;104
453;51,2630929566506;16,5297648721034;45,3;103
